article_id,positive_sentiment,negative_sentiment,organizations,persons,locations,timestamp,longitude,latitude
20190308010000-281,0.936768149882904,7.259953161592509,turing pharmaceuticals;bureau of prisons;facebook,martin shkreli;marc kasowitz;kevin mulleady;benjamin brafman,"New York, United States;United States",20190308010000,-74.9384,42.1497
20190623053000-129,1.0408921933085502,8.25278810408922,a navy;naval criminal investigative service;cnn,corey scott;nicole chavez;joshua vriens;donald trump;tim parlatore;dalton tolbert;thomas macneil;dan simon;brian alazzawi;eric levenson;amir vera;dylan dille;jack hannah;craig miller;eddie gallagher,"San Diego, California, United States;Iraq",20190623053000,-117.15700000000001,32.7153
20190625191500-1765,2.38473767885533,1.8282988871224197,european union,theresa may;jeremy corbyn;jeremy hunt;laura kuenssberg;boris johnson,"Ireland;United Kingdom;Brussels, Bruxelles-Capitale, Belgium",20190625191500,-8.0,53.0
20190911123000-928,0.26385224274406305,5.804749340369389,,ebby weyime;alex shikondi,"Nairobi, Nairobi Area, Kenya;Washington, United States;Kenya;Kabiangek, Rift Valley, Kenya",20190911123000,36.8167,-1.2833299999999999
20190625164500-525,2.30414746543779,5.29953917050691,human services;office of the inspector;human rights watch;cnn;border protection office of professional responsibility;united states,evelyn stauffer,"United States;Texas, United States",20190625164500,-98.5795,39.828175
20190131233000-2162,3.9145907473309602,5.33807829181495,chicago police superintendent eddie johnson;justice department;cnn;us justice department;chicago police department,laquan mcdonald;rahm emanuel;ray sanchez;lisa madigan;brad parks;robert dow;kwame raoul,"Illinois, United States;Chicago, Illinois, United States",20190131233000,-89.0022,40.3363
20190705233000-829,0.8620689655172409,1.14942528735632,university college london;geothermal research;cnn;british antarctic,mount michael;danielle gray;alex burton-johnson,"Mount Yasur, Tafea, Vanuatu;New Hampshire, United States;United Kingdom;Congo;Antarctica;Ambrym, Malampa, Vanuatu;Masaya, Masaya, Nicaragua;Nicaragua;Ethiopia;Hawaii, United States",20190705233000,169.433,-19.5333
20191004140000-1731,2.33463035019455,4.28015564202335,while the ministry for sanctuary;home office;green party;ministry for sanctuary;ministry for the,caroline lucas;jonathan bartley,"Newport, Newport, United Kingdom;United Kingdom;London, London, City Of, United Kingdom",20191004140000,-2.98333,51.5833
20190906040000-249,1.9269776876267701,7.505070993914808,umbrella movement;cnn;reuters,carrie lam;fernando cheung,"Beijing, Beijing, China;United Kingdom;Hong Kong",20190906040000,116.38799999999999,39.9289
20190201141500-698,1.4925373134328401,4.47761194029851,,,"Washington, Washington, United States",20190201141500,-77.0364,38.8951
20190225013000-102,2.2946859903381602,2.77777777777778,cnn;united states,daishuke saito;tim roberts;julia minatoya;aomori mount hakkoda,"Japan;Mutsu Bay, Aomori, Japan;United States;Tohoku, Japan (General), Japan",20190225013000,138.0,36.0
20191106211500-2371,3.0741410488245897,2.35081374321881,national executive committee,gordon brown;sadiq khan;tom watson;ed miliband;jeremy corbyn;jon lansman,"West Bromwich, Sandwell, United Kingdom;United Kingdom;London, London, City Of, United Kingdom",20191106211500,-2.0,52.5167
20190805133000-62,0.453857791225416,3.17700453857791,un intergovernmental panel on climate;world meteorological organization;european union;european union copernicus climate change programme;cnn,freja vamborg;pacific ocean;petteri taalas,"Arctic Island, Alaska, United States;Anchorage, Alaska, United States;Greenland;Paris, France (General), France;Alaska, United States",20190805133000,-161.321,61.8556
20190721180000-1124,1.9774011299435,4.14312617702448,national correspondent john king;development juli;sessions senate;electoral college;cnn,eliana johnson;donald trump;cory booker;elizabeth warren;jeff sessions;nancy pelosi;joe biden;doug jones;robert mueller;richard shelby;john delaney;pete buttigieg;asma khalid;andrew yang;steven mnuchin;roy moore;hillary clinton;kamala harris;bernie sanders,"Jersey;South Bend, Indiana, United States;Alabama, United States;United States;Iran;Texas, United States;Massachusetts, United States;Vermont, United States;White House, District Of Columbia, United States;Iowa, United States;Canada;India;Maryland, United States;Russia",20190721180000,-2.1166669999999996,49.216667
20190417121500-2375,3.0612244897959195,2.2675736961451203,boeing;airbus;cnn,kent craver,"Germany;Hamburg, Hamburg, Germany",20190417121500,10.5,51.5
20190401011500-551,2.74361400189215,3.78429517502365,republican party;white house;cnn;senate majority leader mitch mcconnell ky;party of great healthcare,lucy flores;barack obama;elizabeth warren;justin fairfax;pete buttigieg;joe biden;mick mulvaney;kamala harris;bernie sanders,"Nevada, United States;Texas, United States;Massachusetts, United States;White House, District Of Columbia, United States;Iowa, United States;Virginia, United States;Houston, Texas, United States;Richmond, Virginia, United States",20190401011500,-117.12200000000001,38.4199
20190922121500-378,1.21703853955375,10.1419878296146,south china morning post;reuters,,"Beijing, Beijing, China;China;New Territories, Hong Kong (General), Hong Kong;Hong Kong Island, Hong Kong (General), Hong Kong;Hong Kong;United Kingdom",20190922121500,116.38799999999999,39.9289
20190612121500-1793,2.0446096654275103,9.10780669144981,health administration;florida international university;florida department of transportation;cnn,eric levenson;saeed ahmed,"Florida, United States;Sweetwater, Florida, United States;Florida International University, Florida, United States",20190612121500,-81.717,27.8333
20190110120000-479,0.0,7.84313725490196,,,Yemen,20190110120000,47.5,15.5
20190110071500-1817,3.28947368421053,2.30263157894737,white house;xinhua;cnn;united states,donald trump;jake kwon;yoonjung seo,"Seoul, Soul-T'ukpyolsi, South Korea;Pyongyang, P'yongyang-Si, North Korea;United States;Washington, Washington, United States;Singapore;Bangkok, Krung Thep Mahanakhon, Thailand;China;Hanoi, Ha N?I, Vietnam, Republic Of;Beijing, Beijing, China;North Korea;Kansas, United States;Hawaii, United States",20190110071500,127.0,37.5664
20190225211500-2914,2.96052631578947,4.2763157894736805,bear stearns;merrill lynch;wachovia;america private bank,charles merrill;brian moynihan;edmund lynch,"New York, United States;United States",20190225211500,-74.9384,42.1497
20190531180000-2502,0.8187134502923978,1.6374269005848,foley;florida department of law enforcement;election commission;campaign legal center;cnn,jim moran;jill sugarman;bill keating;elton gallegly;mark foley,"Florida, United States;Tampa Bay, Florida, United States;Virginia, United States;Palm Beach, Florida, United States;Capitol Hill, District Of Columbia, United States;White House, District Of Columbia, United States",20190531180000,-81.717,27.8333
20190909203000-1791,4.56852791878173,6.598984771573599,us circuit court;justice department,rene boucher;rand paul,"Bowling Green, Kentucky, United States;Washington, Washington, United States;Kentucky, United States",20190909203000,-86.4436,36.9903
